sido_cd,sido_nm,sido_nm_2,sgg_cd,sgg_nm,agency_cd
11,서울특별시,서울특별시,11010,종로구,3000000
11,서울특별시,서울특별시,11020,중구,3010000
11,서울특별시,서울특별시,11030,용산구,3020000
11,서울특별시,서울특별시,11040,성동구,3030000
11,서울특별시,서울특별시,11050,광진구,3040000
11,서울특별시,서울특별시,11060,동대문구,3050000
11,서울특별시,서울특별시,11070,중랑구,3060000
11,서울특별시,서울특별시,11080,성북구,3070000
11,서울특별시,서울특별시,11090,강북구,3080000
11,서울특별시,서울특별시,11100,도봉구,3090000
11,서울특별시,서울특별시,11110,노원구,3100000
11,서울특별시,서울특별시,11120,은평구,3110000
11,서울특별시,서울특별시,11130,서대문구,3120000
11,서울특별시,서울특별시,11140,마포구,3130000
11,서울특별시,서울특별시,11150,양천구,3140000
11,서울특별시,서울특별시,11160,강서구,3150000
11,서울특별시,서울특별시,11170,구로구,3160000
11,서울특별시,서울특별시,11180,금천구,3170000
11,서울특별시,서울특별시,11190,영등포구,3180000
11,서울특별시,서울특별시,11200,동작구,3190000
11,서울특별시,서울특별시,11210,관악구,3200000
11,서울특별시,서울특별시,11220,서초구,3210000
11,서울특별시,서울특별시,11230,강남구,3220000
11,서울특별시,서울특별시,11240,송파구,3230000
11,서울특별시,서울특별시,11250,강동구,3240000
21,부산광역시,부산광역시,21010,중구,3250000
21,부산광역시,부산광역시,21020,서구,3260000
21,부산광역시,부산광역시,21030,동구,3270000
21,부산광역시,부산광역시,21040,영도구,3280000
21,부산광역시,부산광역시,21050,부산진구,3290000
21,부산광역시,부산광역시,21060,동래구,3300000
21,부산광역시,부산광역시,21070,남구,3310000
21,부산광역시,부산광역시,21080,북구,3320000
21,부산광역시,부산광역시,21090,해운대구,3330000
21,부산광역시,부산광역시,21100,사하구,3340000
21,부산광역시,부산광역시,21110,금정구,3350000
21,부산광역시,부산광역시,21120,강서구,3360000
21,부산광역시,부산광역시,21130,연제구,3370000
21,부산광역시,부산광역시,21140,수영구,3380000
21,부산광역시,부산광역시,21150,사상구,3390000
21,부산광역시,부산광역시,21310,기장군,3400000
22,대구광역시,대구광역시,22010,중구,3410000
22,대구광역시,대구광역시,22020,동구,3420000
22,대구광역시,대구광역시,22030,서구,3430000
22,대구광역시,대구광역시,22040,남구,3440000
22,대구광역시,대구광역시,22050,북구,3450000
22,대구광역시,대구광역시,22060,수성구,3460000
22,대구광역시,대구광역시,22070,달서구,3470000
22,대구광역시,대구광역시,22310,달성군,3480000
23,인천광역시,인천광역시,23010,중구,3490000
23,인천광역시,인천광역시,23020,동구,3500000
23,인천광역시,인천광역시,23040,연수구,3520000
23,인천광역시,인천광역시,23050,남동구,3530000
23,인천광역시,인천광역시,23060,부평구,3540000
23,인천광역시,인천광역시,23070,계양구,3550000
23,인천광역시,인천광역시,23080,서구,3560000
23,인천광역시,인천광역시,23090,미추홀구,3510500
23,인천광역시,인천광역시,23310,강화군,3570000
23,인천광역시,인천광역시,23320,옹진군,3580000
24,광주광역시,광주광역시,24010,동구,3590000
24,광주광역시,광주광역시,24020,서구,3600000
24,광주광역시,광주광역시,24030,남구,3610000
24,광주광역시,광주광역시,24040,북구,3620000
24,광주광역시,광주광역시,24050,광산구,3630000
25,대전광역시,대전광역시,25010,동구,3640000
25,대전광역시,대전광역시,25020,중구,3650000
25,대전광역시,대전광역시,25030,서구,3660000
25,대전광역시,대전광역시,25040,유성구,3670000
25,대전광역시,대전광역시,25050,대덕구,3680000
26,울산광역시,울산광역시,26010,중구,3690000
26,울산광역시,울산광역시,26020,남구,3700000
26,울산광역시,울산광역시,26030,동구,3710000
