sido,sigungu,safety_center_serve,pollution_emission,aged_single_ratio,police_station_acb,high_trans_acb,high_ic_acb,sports_fac_popratio,perf_fac_popratio,aged_service_popratio,old_house_ratio,green_space_rate,road_pavement_rate,library_service_popratio,hospital_service_popratio,vacant_house_ratio,wg_ph_spentratio,water_supply_rate,cworks_pctg,living_park_popratio,firestation_acb,toddlers_care_popratio,population_growth_rate,childecare_per_infant_number,emergency_fac_popratio,socialwelfare_fac_per_hndrdth_number,park_per_thousand_area,beds_peer_thousand_number,cultural_infra_per_hndrdth_number,fin_indep_3year_mean,parking_popratio,kb_industry_3year_mean,elem_school_popratio,no_bsns_3year_growth_rate,no_emp_3year_growth_rate,sewer_coverage_rate,schoools_per_thousand_number
서울특별시,종로구,25511,246383,6.4,1.2,5.4,3.6,18.8,100,100,26.1,46.7,100,23.4,6.6,4.9,33.3,100,72.8,73.7,1.5,88.8,-1.9,16.5,100,10.5,6072,21.8,41.4,52.7,39.2,1.17,39,1.1,4.5,100,2.8
서울특별시,중구,25145,1571934,6.7,0.6,3.1,4.3,53.1,100,100,17.3,0.3,100,39.4,28.9,4.9,30.6,100,71.8,87.3,0.9,94.7,-2,14.7,100,8,11847,12.5,19.1,63.6,89.2,1.13,46.6,-0.6,3.1,100,3.7
서울특별시,용산구,45800,258435,6,1.2,2.7,3.7,20.7,100,100,29.6,39,100,4,5.7,7.4,41.6,100,71.4,52.6,1.3,93.1,-1,14.4,100,5.7,2188,4.4,7,47.3,13.4,1.27,51.6,1.5,0.6,100,1.8
서울특별시,성동구,77055,455258,4.9,1.1,6.6,2.7,37.6,100,100,13.1,25.8,100,32.2,23.7,1.7,44.8,100,71.7,84.6,1.4,97.6,-0.8,12.9,100,3,4299,7,4.6,35,76.9,1.11,60.6,2.3,4.7,100,1.6
서울특별시,광진구,118520,408566,4.3,1.1,6.4,4.7,37.9,100,100,11.5,30.9,100,16.8,22.5,1.2,44.4,100,56.1,74.8,1.5,97.4,1.4,14.8,100,7.3,1680,6.4,2.5,34.1,45.7,0.73,71.6,0.3,1.9,100,1.4
서울특별시,동대문구,69610,566200,6.1,0.9,4,2,17.9,100,100,17.7,2.7,100,14.4,42.5,2.3,52.1,100,57.2,91,1.1,99.5,-0.6,16.7,100,9,2688,18.2,2.9,27.9,17.7,0.67,66.2,0.8,3,100,1.6
서울특별시,중랑구,100802,407030,6.4,1.1,2.3,2.2,19.1,100,100,10.2,39.7,100,19.2,37.7,1.3,54.7,100,47.8,85.3,1.3,94.8,0.9,15.5,100,11,5433,7.4,1,25.3,53.1,0.58,63.3,0.5,1.8,100,1.4
서울특별시,성북구,108967,311629,5.6,1.2,7,1.8,5.7,100,100,14.8,26.1,100,27,9.5,3.1,52.8,100,55.4,43.9,1.7,97,-0.7,16,100,10,5160,7.1,4.3,25.5,46.1,0.58,64.3,-0.7,1.1,100,1.4
서울특별시,강북구,79791,222258,7.9,1.5,9.5,4.8,14.4,100,100,12.8,52.4,100,34.5,32.2,2.5,53.6,100,48.2,80,1.8,95.2,-0.1,15.6,100,12.2,4502,6.4,3.7,24.3,72.5,0.55,51.9,-0.9,0.2,100,1.3
서울특별시,도봉구,84853,266831,6.7,1.3,10.6,4.2,14.9,100,100,9.4,52.4,100,28.3,19.2,2.9,52.3,100,55.3,65.6,1.8,96.4,2.5,19.5,100,16.4,6129,8.7,3.5,24.3,69.5,0.53,67.6,1.8,3.2,100,1.5
서울특별시,노원구,108750,247618,6.9,1.6,7.5,3.2,13.3,100,100,6.9,59.1,100,24.3,14.3,2.5,56.8,100,57.6,79.5,1.8,97.4,3,21.7,100,7.8,3193,7,2.7,20.4,54.2,0.5,79.4,1.5,3.3,100,1.5
서울특별시,은평구,120799,272181,6.1,1.3,9.4,5,2.7,100,100,9.8,46.7,100,13.6,30.4,3.3,58.3,100,51.3,79.5,2,98.8,0.9,14.8,100,9,6664,6.8,2.5,24.4,42.8,0.51,70.1,0.9,2.7,100,1.4
서울특별시,서대문구,77578,329680,5.7,1.1,5.4,1.7,10.4,100,100,16.8,11.1,100,21.2,21.7,2.7,43.9,100,62.2,87.5,1.6,94.6,-0.9,12.4,100,10.2,4604,12.4,4.2,31.9,15.5,0.76,59.7,0.6,5,100,1.4
서울특별시,마포구,62513,335690,4.6,0.9,5.5,2.4,26.6,100,100,12.8,40,100,21.9,12.6,5.1,52.1,100,69.8,87.4,1.1,97.4,-0.3,12.8,100,4.7,7629,2,3.7,40.7,12.1,1.76,75.7,3.4,5.4,100,1.3
서울특별시,양천구,92837,459424,5,1,6.4,2.3,36.1,100,100,20.9,23.1,100,21.1,24.7,2.4,51.4,100,56.8,90.6,1.3,98.1,3.9,17.5,100,8.8,2907,5.9,1.9,31.2,72.9,0.88,59.9,0.5,2.2,100,1.1
서울특별시,강서구,119390,457030,5.3,1.4,8.7,2.3,9,100,100,4.8,54.3,100,24,38.6,3.8,58,100,68.1,90.4,1.8,96.9,3,15.9,100,7.1,5526,5.9,2.3,27.9,59.1,0.97,71.2,2.7,5.2,100,1.4
서울특별시,구로구,67416,540033,4.9,1.2,6.2,1.9,16.1,100,100,12.5,25.6,100,30.9,23.2,2.6,53.2,100,70.9,62.6,1.2,99.4,1.7,18.1,100,7.9,2747,9.5,3.7,27.8,47.5,1.85,62,2.5,3,100,1.4
서울특별시,금천구,116959,544393,5.7,1.3,5.7,1.5,17.6,100,100,16.1,22.3,100,22.7,20.8,1.1,51.3,100,76,78.8,1.4,97.4,1.3,18.9,100,11.9,344,8.7,2.6,31.7,74.5,2.4,69.2,2.9,3.5,100,1.8
서울특별시,영등포구,73556,428713,5.2,1,2.7,2,27.8,100,100,25.2,35.8,100,17,41.9,3.1,50.7,100,77,68.4,1.2,97.2,0,15.9,100,8.9,1878,15.2,3,44,83.6,1.41,56.8,1.2,2.9,100,1.5
서울특별시,동작구,99051,401133,4.8,1.2,4.4,2.2,20.6,100,100,9.7,13.7,100,14.3,17.3,0.8,52.9,100,58.8,73.6,1.4,96.5,0.3,13.8,100,5.5,8153,7.3,1.8,31.4,34.4,0.75,50,-0.5,0.1,100,1.3
서울특별시,관악구,125489,289339,4.5,1.1,6.7,2.5,14.7,100,100,12.1,46.8,100,21.7,26.6,0.7,53.8,100,52.1,82.3,1.8,98,0.9,16.8,100,8.9,1656,4.7,2.2,25.3,39.9,0.78,58,0.1,1.5,100,1.6
서울특별시,서초구,72325,241338,3.5,1.6,7.4,1.5,20.1,100,100,21.3,56.9,100,13.4,23.7,3.6,42,100,74,77.9,2.2,91.9,5.7,10.1,100,2.7,4408,7.9,3.9,61.2,50.2,1.52,56,2.7,4.7,100,0.9
서울특별시,강남구,108473,445679,4,1.2,5.3,1.9,17.6,100,100,25.8,34.5,100,22.3,38.5,7.3,43.4,100,77.9,81.5,1.8,86.4,5.2,10.8,100,2.6,7545,14.4,5,70.7,62.4,1.72,59.2,5.1,3.9,100,1.2
서울특별시,송파구,111106,556603,3.9,1.3,4.5,2.4,26,100,100,14.7,31.2,100,24,31.8,3.5,53.4,100,67.8,83.8,1.6,95.4,4.2,13.3,100,5.6,3271,9.9,3,45.8,53,1.24,59.6,1.6,7.4,100,1.2
서울특별시,강동구,85515,332685,5,1.3,8.8,1.8,25.5,100,100,20.8,44.4,100,29.9,38.7,5.7,52.6,100,57.9,90.5,1.7,98.6,3.9,15.1,100,9,7325,13.6,2.3,32.4,46.2,0.67,60,0.6,1.8,100,1.4
부산광역시,중구,21398,836403,11.8,0.7,2.3,8.2,0,100,100,41.8,8.8,100,11,27.4,14.3,34.7,100,59.9,31.4,1,97.7,-2.2,13.4,100,2.2,115149,38,13.6,32.8,100,2.11,69.5,0.3,0.9,99.6,3.7
부산광역시,서구,55267,831408,11.6,1.7,5.2,8.5,24.7,100,100,36.6,27.2,100,8.5,20.8,8.8,50.2,100,62.1,11.7,2.3,79.7,-1.9,12.3,100,14.2,16051,46.4,4.5,18.6,81.1,0.58,50.8,-0.3,1.5,99.8,2.7
부산광역시,동구,21728,1120211,13.1,0.9,2.6,9.3,11.4,100,100,48.3,26.6,100,22.9,31.7,10.8,50.2,100,57.5,13.3,1.3,84.9,-2.3,16.3,100,4.5,671,34,4.5,19.6,98.8,1.04,43,-1,1.1,99.5,3.1
부산광역시,영도구,40036,758152,12.3,1.4,6,12.9,14.8,100,100,35.1,13.5,100,21.5,16.6,9,50.3,100,62.1,32.8,1.7,95.9,-1.3,14.7,100,5.5,6834,13.7,5.7,15.1,25.4,0.62,67.2,0.2,3.9,99.8,3.3
부산광역시,부산진구,72471,310537,8.2,1.2,7,7,0.9,100,100,24.7,46.3,99.8,16,26.9,10.1,58.5,100,50.2,29.9,1.5,92.4,-0.5,12.1,100,2.7,16122,18.6,2.4,26.4,42.3,0.5,59.4,0.7,3,99.9,2.3
부산광역시,동래구,66629,387569,7.2,1.4,9.3,3.8,18.6,100,100,28.3,35.5,100,5.5,48.9,6.5,54,100,52.2,45.1,1.6,98.4,1.5,11.8,100,5.1,14789,22.8,3,27.7,24.5,0.55,63.3,0,1.2,99.9,1.7
부산광역시,남구,93306,253368,7.5,1.3,7.7,9.1,9.3,100,100,25.9,30.3,100,4.2,17.7,10.9,53,100,54.6,41.7,1.8,91.3,0.2,12.9,100,3.6,1382,12.7,3.7,28.8,82,0.96,58.4,-0.4,3.3,99.8,1.7
부산광역시,북구,74238,139734,7.8,1.8,4.2,2.3,7.8,100,100,9.5,74.1,100,11.5,20.7,5,63.1,100,50.4,70,1.7,91.4,5.4,14.8,100,4.8,2308,15.8,3,18.5,47.7,0.47,71.5,0.8,3.7,99.9,1.8
