sido_cd,sido_nm,sgg_cd,sgg_nm,pop_index
11,서울특별시,11010,종로구,244.7
11,서울특별시,11020,중구,321
11,서울특별시,11030,용산구,125
11,서울특별시,11040,성동구,112.6
11,서울특별시,11050,광진구,90.1
11,서울특별시,11060,동대문구,105.2
11,서울특별시,11070,중랑구,82.1
11,서울특별시,11080,성북구,93.6
11,서울특별시,11090,강북구,82.9
11,서울특별시,11100,도봉구,80.8
11,서울특별시,11110,노원구,86.2
11,서울특별시,11120,은평구,77.3
11,서울특별시,11130,서대문구,105.3
11,서울특별시,11140,마포구,120.8
11,서울특별시,11150,양천구,82.1
11,서울특별시,11160,강서구,97
11,서울특별시,11170,구로구,103.5
11,서울특별시,11180,금천구,128.6
11,서울특별시,11190,영등포구,142.8
11,서울특별시,11200,동작구,88.6
11,서울특별시,11210,관악구,80.1
11,서울특별시,11220,서초구,140.2
11,서울특별시,11230,강남구,192.7
11,서울특별시,11240,송파구,100.4
11,서울특별시,11250,강동구,86.1
21,부산광역시,21010,중구,169.3
21,부산광역시,21020,서구,106.2
21,부산광역시,21030,동구,117.5
21,부산광역시,21040,영도구,101.5
21,부산광역시,21050,부산진구,103.2
21,부산광역시,21060,동래구,87.4
21,부산광역시,21070,남구,96.1
21,부산광역시,21080,북구,83.6
21,부산광역시,21090,해운대구,92.2
21,부산광역시,21100,사하구,93.2
21,부산광역시,21110,금정구,101.9
21,부산광역시,21120,강서구,151.2
21,부산광역시,21130,연제구,97.3
21,부산광역시,21140,수영구,87.2
21,부산광역시,21150,사상구,107.2
21,부산광역시,21310,기장군,98.4
22,대구광역시,22010,중구,144.5
22,대구광역시,22020,동구,95.7
22,대구광역시,22030,서구,99.7
22,대구광역시,22040,남구,103.1
22,대구광역시,22050,북구,93.3
22,대구광역시,22060,수성구,91.7
22,대구광역시,22070,달서구,96.5
22,대구광역시,22310,달성군,92.3
23,인천광역시,23010,중구,136
23,인천광역시,23020,동구,112.4
23,인천광역시,23040,연수구,92.8
23,인천광역시,23050,남동구,92.9
23,인천광역시,23060,부평구,88.3
23,인천광역시,23070,계양구,85.3
23,인천광역시,23080,서구,93.7
23,인천광역시,23090,미추홀구,92.5
23,인천광역시,23310,강화군,101.2
23,인천광역시,23320,옹진군,107.4
24,광주광역시,24010,동구,115.7
24,광주광역시,24020,서구,98.9
24,광주광역시,24030,남구,90.7
24,광주광역시,24040,북구,94.5
24,광주광역시,24050,광산구,97.6
25,대전광역시,25010,동구,96
25,대전광역시,25020,중구,94.8
25,대전광역시,25030,서구,94
25,대전광역시,25040,유성구,106
25,대전광역시,25050,대덕구,108
26,울산광역시,26010,중구,88.1
26,울산광역시,26020,남구,105.3
26,울산광역시,26030,동구,105.1
26,울산광역시,26040,북구,98.9
26,울산광역시,26310,울주군,106.5
29,세종특별자치시,29010,세종시,93.4
31,경기도,31010,수원시,91.3
31,경기도,31011,장안구,84.9
31,경기도,31012,권선구,87.7
31,경기도,31013,팔달구,97.8
31,경기도,31014,영통구,96.7
31,경기도,31020,성남시,104.3
31,경기도,31021,수정구,94.7
31,경기도,31022,중원구,98
31,경기도,31023,분당구,112.1
31,경기도,31030,의정부시,83.5
31,경기도,31040,안양시,94.8
31,경기도,31041,만안구,91.5
31,경기도,31042,동안구,97.3
31,경기도,31050,부천시,90.2
31,경기도,31060,광명시,84.5
31,경기도,31070,평택시,107.3
31,경기도,31080,동두천시,92.7
31,경기도,31090,안산시,98
